reading_id,asset_id,date,output_kw,efficiency,temperature_c,vibration_mm,uptime_hours,month
WTG-001-20230222,WTG-001,2023-02-22,1366.93,0.9206,65.5,0.007,18.7,2023-02
WTG-001-20230223,WTG-001,2023-02-23,1232.58,1.0,71.3,0.608,20.8,2023-02
WTG-001-20230224,WTG-001,2023-02-24,1282.48,0.9581,46.0,0.254,21.7,2023-02
WTG-001-20230225,WTG-001,2023-02-25,1149.43,0.9298,42.5,0.492,21.0,2023-02
WTG-001-20230226,WTG-001,2023-02-26,1217.44,0.9689,58.5,0.013,21.5,2023-02
WTG-001-20230227,WTG-001,2023-02-27,1632.31,0.9831,43.3,0.515,20.7,2023-02
WTG-001-20230228,WTG-001,2023-02-28,1920.48,0.9754,74.3,0.109,18.4,2023-02
WTG-001-20230301,WTG-001,2023-03-01,1160.95,0.9558,25.7,0.574,18.4,2023-03
WTG-001-20230302,WTG-001,2023-03-02,1813.02,0.9792,36.9,0.063,22.2,2023-03
WTG-001-20230303,WTG-001,2023-03-03,1783.23,0.9376,64.1,0.813,19.7,2023-03
WTG-001-20230304,WTG-001,2023-03-04,1926.45,0.9669,44.8,0.233,22.7,2023-03
WTG-001-20230305,WTG-001,2023-03-05,1804.31,0.9279,71.5,0.28,22.5,2023-03
WTG-001-20230306,WTG-001,2023-03-06,1501.06,0.9357,69.6,0.193,23.4,2023-03
WTG-001-20230307,WTG-001,2023-03-07,1153.72,0.9545,74.3,0.048,19.9,2023-03
WTG-001-20230308,WTG-001,2023-03-08,1434.57,1.0,39.7,0.558,22.5,2023-03
WTG-001-20230309,WTG-001,2023-03-09,1787.84,0.9761,25.5,0.341,18.3,2023-03
WTG-001-20230310,WTG-001,2023-03-10,1303.13,0.8801,27.0,0.077,22.6,2023-03
WTG-001-20230311,WTG-001,2023-03-11,1273.86,0.9945,25.0,0.604,18.4,2023-03
WTG-001-20230312,WTG-001,2023-03-12,1213.05,0.9568,79.2,0.234,20.2,2023-03
WTG-001-20230313,WTG-001,2023-03-13,1888.77,0.9647,79.2,0.7,20.3,2023-03
WTG-001-20230314,WTG-001,2023-03-14,1129.12,0.876,49.6,0.006,20.8,2023-03
WTG-001-20230315,WTG-001,2023-03-15,1272.68,0.9827,27.1,0.524,22.5,2023-03
WTG-001-20230316,WTG-001,2023-03-16,1355.56,0.9489,72.1,0.127,23.8,2023-03
WTG-001-20230317,WTG-001,2023-03-17,1353.97,0.6852,42.6,4.109,21.2,2023-03
WTG-001-20230318,WTG-001,2023-03-18,1610.2,0.9452,61.7,0.303,21.8,2023-03
WTG-001-20230319,WTG-001,2023-03-19,1788.49,0.9311,22.7,0.165,23.7,2023-03
WTG-001-20230320,WTG-001,2023-03-20,1314.53,0.9245,31.3,0.312,20.1,2023-03
WTG-001-20230321,WTG-001,2023-03-21,1205.97,0.9555,78.5,2.142,22.2,2023-03
WTG-001-20230322,WTG-001,2023-03-22,1515.55,0.8671,29.8,1.209,22.9,2023-03
WTG-001-20230323,WTG-001,2023-03-23,1662.51,0.9337,56.8,0.271,23.6,2023-03
WTG-001-20230324,WTG-001,2023-03-24,1828.44,0.9189,29.0,0.451,20.3,2023-03
WTG-001-20230325,WTG-001,2023-03-25,1706.76,0.9109,70.3,0.316,20.5,2023-03
WTG-001-20230326,WTG-001,2023-03-26,1691.85,0.9144,80.0,2.847,21.3,2023-03
WTG-001-20230327,WTG-001,2023-03-27,1787.95,0.9142,71.0,0.142,20.7,2023-03
WTG-001-20230328,WTG-001,2023-03-28,1479.26,0.873,41.5,0.06,22.0,2023-03
WTG-001-20230329,WTG-001,2023-03-29,1687.48,0.9283,51.2,0.956,21.3,2023-03
WTG-001-20230330,WTG-001,2023-03-30,1230.31,0.9412,21.7,0.704,21.7,2023-03
WTG-001-20230331,WTG-001,2023-03-31,1251.83,0.9135,28.2,0.007,20.1,2023-03
WTG-001-20230401,WTG-001,2023-04-01,1643.88,0.8547,40.9,0.361,22.7,2023-04
WTG-001-20230402,WTG-001,2023-04-02,1609.5,0.9481,71.7,1.493,18.9,2023-04
WTG-001-20230403,WTG-001,2023-04-03,1414.3,0.9024,78.8,0.339,20.0,2023-04
WTG-001-20230404,WTG-001,2023-04-04,1287.39,0.9248,24.6,0.069,18.8,2023-04
WTG-001-20230405,WTG-001,2023-04-05,1660.29,0.8659,48.4,0.551,19.0,2023-04
WTG-001-20230406,WTG-001,2023-04-06,1123.72,0.9116,30.1,0.163,19.1,2023-04
WTG-001-20230407,WTG-001,2023-04-07,1365.46,0.852,61.4,0.02,22.8,2023-04
WTG-001-20230408,WTG-001,2023-04-08,1122.71,0.8872,72.4,1.268,18.4,2023-04
WTG-001-20230409,WTG-001,2023-04-09,1235.1,0.9165,32.6,0.231,20.9,2023-04
WTG-001-20230410,WTG-001,2023-04-10,1301.25,0.8703,47.8,0.688,18.2,2023-04
WTG-001-20230411,WTG-001,2023-04-11,1468.43,0.9124,51.9,0.057,20.7,2023-04
WTG-001-20230412,WTG-001,2023-04-12,1192.14,0.8552,36.2,0.237,18.1,2023-04
WTG-001-20230413,WTG-001,2023-04-13,1102.66,0.8509,73.4,0.45,22.1,2023-04
WTG-001-20230414,WTG-001,2023-04-14,1376.64,0.8611,25.2,0.385,21.5,2023-04
WTG-001-20230415,WTG-001,2023-04-15,1234.94,0.8654,41.8,0.519,21.4,2023-04
WTG-001-20230416,WTG-001,2023-04-16,1837.98,0.924,56.3,0.135,18.6,2023-04
WTG-001-20230417,WTG-001,2023-04-17,1161.25,0.8607,37.1,0.095,23.4,2023-04
WTG-001-20230418,WTG-001,2023-04-18,1382.35,0.8535,44.6,2.019,18.7,2023-04
WTG-001-20230419,WTG-001,2023-04-19,1634.68,0.8819,35.5,0.094,22.0,2023-04
WTG-001-20230420,WTG-001,2023-04-20,1424.07,0.8655,54.3,0.164,22.6,2023-04
WTG-001-20230421,WTG-001,2023-04-21,1363.49,0.8489,34.5,0.061,21.7,2023-04
WTG-001-20230422,WTG-001,2023-04-22,1388.06,0.8337,29.3,0.328,21.2,2023-04
WTG-001-20230423,WTG-001,2023-04-23,1072.01,0.8571,79.4,0.195,22.9,2023-04
WTG-001-20230424,WTG-001,2023-04-24,1478.54,0.8472,65.6,0.453,20.8,2023-04
WTG-001-20230425,WTG-001,2023-04-25,1499.34,0.8042,77.9,0.066,22.4,2023-04
WTG-001-20230426,WTG-001,2023-04-26,1108.42,0.8241,24.0,0.676,21.4,2023-04
WTG-001-20230427,WTG-001,2023-04-27,1156.19,0.8493,29.8,0.09,22.9,2023-04
WTG-001-20230428,WTG-001,2023-04-28,1382.42,0.8542,41.5,1.049,20.4,2023-04
WTG-001-20230429,WTG-001,2023-04-29,1320.6,0.8411,38.1,0.688,21.0,2023-04
WTG-001-20230430,WTG-001,2023-04-30,1699.72,0.8854,43.0,0.392,23.4,2023-04
WTG-001-20230501,WTG-001,2023-05-01,1391.81,0.8177,40.1,0.075,22.8,2023-05
WTG-001-20230502,WTG-001,2023-05-02,1383.8,0.8506,73.6,0.777,18.9,2023-05
WTG-001-20230503,WTG-001,2023-05-03,990.19,0.8071,54.2,0.719,23.3,2023-05
WTG-001-20230504,WTG-001,2023-05-04,1510.07,0.8132,26.6,0.937,18.8,2023-05
WTG-001-20230505,WTG-001,2023-05-05,1209.26,0.8741,63.3,0.637,21.8,2023-05
WTG-001-20230506,WTG-001,2023-05-06,1340.02,0.82,35.1,0.212,19.1,2023-05
WTG-001-20230507,WTG-001,2023-05-07,1312.64,0.8363,76.8,0.083,21.5,2023-05
WTG-001-20230508,WTG-001,2023-05-08,1442.66,0.8541,21.1,1.028,23.6,2023-05
WTG-001-20230509,WTG-001,2023-05-09,1554.43,0.8803,29.2,0.429,21.6,2023-05
WTG-001-20230510,WTG-001,2023-05-10,1507.17,0.8424,76.1,1.299,20.7,2023-05
WTG-001-20230511,WTG-001,2023-05-11,1117.8,0.8987,40.1,0.812,18.0,2023-05
WTG-001-20230512,WTG-001,2023-05-12,1269.66,0.8361,52.2,1.262,20.1,2023-05
WTG-001-20230513,WTG-001,2023-05-13,1181.5,0.8564,47.1,0.076,19.1,2023-05
WTG-001-20230514,WTG-001,2023-05-14,1215.16,0.7916,74.9,0.225,21.5,2023-05
WTG-001-20230515,WTG-001,2023-05-15,1033.36,0.7835,44.9,0.045,24.0,2023-05
WTG-001-20230516,WTG-001,2023-05-16,1386.95,0.8274,24.0,0.693,19.3,2023-05
WTG-001-20230517,WTG-001,2023-05-17,991.18,0.8063,48.3,0.416,18.4,2023-05
WTG-001-20230518,WTG-001,2023-05-18,1269.38,0.8123,51.5,0.291,20.4,2023-05
WTG-001-20230519,WTG-001,2023-05-19,1455.38,0.7703,76.8,0.234,19.6,2023-05
WTG-001-20230520,WTG-001,2023-05-20,1236.31,0.8096,21.5,0.085,22.3,2023-05
WTG-001-20230521,WTG-001,2023-05-21,1106.22,0.7988,60.3,0.01,18.6,2023-05
WTG-001-20230522,WTG-001,2023-05-22,1074.7,0.8003,59.2,0.136,18.6,2023-05
WTG-001-20230523,WTG-001,2023-05-23,1531.99,0.8218,43.8,0.551,19.2,2023-05
WTG-001-20230524,WTG-001,2023-05-24,1470.69,0.7672,20.8,0.045,19.2,2023-05
WTG-001-20230525,WTG-001,2023-05-25,1377.99,0.7433,40.5,0.15,20.3,2023-05
WTG-001-20230526,WTG-001,2023-05-26,1194.24,0.8443,57.4,0.263,21.3,2023-05
WTG-001-20230527,WTG-001,2023-05-27,1334.24,0.7368,28.4,1.014,20.9,2023-05
WTG-001-20230528,WTG-001,2023-05-28,1418.71,0.7711,45.5,0.011,19.6,2023-05
WTG-001-20230529,WTG-001,2023-05-29,1114.96,0.8501,70.1,2.08,21.2,2023-05
WTG-001-20230530,WTG-001,2023-05-30,1139.57,0.8037,21.1,1.228,18.7,2023-05
WTG-001-20230531,WTG-001,2023-05-31,1261.2,0.7328,69.8,0.116,18.1,2023-05
WTG-001-20230601,WTG-001,2023-06-01,1528.95,0.7963,72.4,0.455,21.6,2023-06
WTG-001-20230602,WTG-001,2023-06-02,1147.86,0.7478,43.0,0.366,18.3,2023-06
WTG-001-20230603,WTG-001,2023-06-03,1416.86,0.7914,25.0,0.462,19.5,2023-06
WTG-001-20230604,WTG-001,2023-06-04,1293.25,0.7285,37.8,0.418,20.9,2023-06
WTG-001-20230605,WTG-001,2023-06-05,1459.08,0.7485,64.0,0.121,18.2,2023-06
WTG-001-20230606,WTG-001,2023-06-06,1259.85,0.7888,55.8,0.203,22.6,2023-06
WTG-001-20230607,WTG-001,2023-06-07,911.4,0.7233,63.7,0.342,22.1,2023-06
WTG-001-20230608,WTG-001,2023-06-08,1325.13,0.7204,61.7,0.159,21.5,2023-06
WTG-001-20230609,WTG-001,2023-06-09,959.24,0.7534,75.0,0.074,23.7,2023-06
WTG-001-20230610,WTG-001,2023-06-10,1374.6,0.7241,63.9,0.821,22.0,2023-06
WTG-001-20230611,WTG-001,2023-06-11,1419.32,0.7552,35.0,0.336,19.3,2023-06
WTG-001-20230612,WTG-001,2023-06-12,1379.81,0.7849,37.8,1.291,23.8,2023-06
WTG-001-20230613,WTG-001,2023-06-13,1204.65,0.7627,71.7,0.931,19.9,2023-06
WTG-001-20230614,WTG-001,2023-06-14,901.97,0.715,61.8,0.208,22.3,2023-06
WTG-001-20230615,WTG-001,2023-06-15,1119.06,0.7706,52.4,0.782,19.9,2023-06
WTG-001-20230616,WTG-001,2023-06-16,1081.4,0.78,21.5,1.02,18.1,2023-06
WTG-001-20230617,WTG-001,2023-06-17,1235.15,0.761,76.3,0.802,24.0,2023-06
WTG-001-20230618,WTG-001,2023-06-18,1247.59,0.7877,57.7,1.034,23.9,2023-06
WTG-001-20230619,WTG-001,2023-06-19,1118.44,0.729,45.3,0.669,19.4,2023-06
WTG-001-20230620,WTG-001,2023-06-20,1062.05,0.7391,34.0,0.022,18.1,2023-06
WTG-001-20230621,WTG-001,2023-06-21,1114.26,0.7225,43.1,0.569,19.3,2023-06
WTG-001-20230622,WTG-001,2023-06-22,1447.86,0.7403,48.0,0.475,19.0,2023-06
WTG-001-20230623,WTG-001,2023-06-23,996.26,0.7191,76.6,0.524,21.6,2023-06
WTG-001-20230624,WTG-001,2023-06-24,957.26,0.6955,31.2,0.756,20.1,2023-06
WTG-001-20230625,WTG-001,2023-06-25,1468.64,0.7435,73.0,1.314,24.0,2023-06
WTG-001-20230626,WTG-001,2023-06-26,1280.41,0.7288,29.2,0.846,19.3,2023-06
WTG-001-20230627,WTG-001,2023-06-27,1146.54,0.7036,55.6,0.434,18.5,2023-06
WTG-001-20230628,WTG-001,2023-06-28,1388.74,0.7267,77.3,0.991,22.9,2023-06
WTG-001-20230629,WTG-001,2023-06-29,1236.96,0.7539,25.2,0.263,20.2,2023-06
WTG-001-20230630,WTG-001,2023-06-30,963.55,0.7618,33.2,0.575,18.5,2023-06
WTG-001-20230701,WTG-001,2023-07-01,1126.29,0.7056,48.8,0.449,22.9,2023-07
WTG-001-20230702,WTG-001,2023-07-02,1092.46,0.7728,72.7,0.798,22.0,2023-07
WTG-001-20230703,WTG-001,2023-07-03,1322.07,0.6981,62.5,0.907,22.2,2023-07
WTG-001-20230704,WTG-001,2023-07-04,1010.15,0.7613,72.9,1.027,18.2,2023-07
WTG-001-20230705,WTG-001,2023-07-05,1011.22,0.776,40.1,0.68,19.0,2023-07
WTG-001-20230706,WTG-001,2023-07-06,893.79,0.7417,37.2,0.48,23.9,2023-07
WTG-001-20230707,WTG-001,2023-07-07,1042.12,0.7402,58.0,0.388,22.7,2023-07
WTG-001-20230708,WTG-001,2023-07-08,1448.9,0.7353,40.5,0.501,23.6,2023-07
WTG-001-20230709,WTG-001,2023-07-09,1393.03,0.7145,61.3,0.035,19.8,2023-07
WTG-001-20230710,WTG-001,2023-07-10,1055.55,0.7148,57.3,0.023,23.2,2023-07
WTG-001-20230711,WTG-001,2023-07-11,1442.14,0.7302,65.0,0.07,22.5,2023-07
WTG-001-20230712,WTG-001,2023-07-12,1258.02,0.7203,46.8,0.16,24.0,2023-07
WTG-001-20230713,WTG-001,2023-07-13,1034.12,0.6624,29.8,0.792,22.2,2023-07
WTG-001-20230714,WTG-001,2023-07-14,1483.21,0.7565,29.1,0.283,23.7,2023-07
WTG-001-20230715,WTG-001,2023-07-15,1302.8,0.7615,43.9,0.16,23.9,2023-07
WTG-001-20230716,WTG-001,2023-07-16,1025.86,0.7485,21.9,0.527,20.2,2023-07
WTG-001-20230717,WTG-001,2023-07-17,1128.43,0.7148,78.1,0.103,23.2,2023-07
WTG-001-20230718,WTG-001,2023-07-18,1341.7,0.7418,57.6,0.07,18.2,2023-07
WTG-001-20230719,WTG-001,2023-07-19,1255.96,0.7417,67.8,0.328,18.7,2023-07
WTG-001-20230720,WTG-001,2023-07-20,994.25,0.7308,49.5,0.033,21.5,2023-07
WTG-001-20230721,WTG-001,2023-07-21,1280.13,0.6965,38.6,0.304,18.1,2023-07
WTG-001-20230722,WTG-001,2023-07-22,1198.89,0.7136,37.5,0.594,23.2,2023-07
WTG-001-20230723,WTG-001,2023-07-23,859.51,0.6978,48.8,0.055,19.5,2023-07
WTG-001-20230724,WTG-001,2023-07-24,1302.09,0.7902,20.6,0.198,21.1,2023-07
WTG-001-20230725,WTG-001,2023-07-25,1061.87,0.7172,22.0,0.041,20.4,2023-07
WTG-001-20230726,WTG-001,2023-07-26,1331.67,0.7236,32.0,0.092,18.6,2023-07
WTG-001-20230727,WTG-001,2023-07-27,1210.25,0.6856,21.9,1.376,18.3,2023-07
WTG-001-20230728,WTG-001,2023-07-28,1366.91,0.7717,68.1,0.207,22.9,2023-07
WTG-001-20230729,WTG-001,2023-07-29,1394.7,0.728,52.9,0.85,20.7,2023-07
WTG-001-20230730,WTG-001,2023-07-30,922.66,0.7292,23.6,0.142,19.0,2023-07
WTG-001-20230731,WTG-001,2023-07-31,1076.37,0.7826,78.6,0.205,19.1,2023-07
WTG-001-20230801,WTG-001,2023-08-01,1209.68,0.7357,63.2,0.13,24.0,2023-08
WTG-001-20230802,WTG-001,2023-08-02,1291.99,0.751,32.0,0.57,18.4,2023-08
WTG-001-20230803,WTG-001,2023-08-03,1345.57,0.75,45.5,0.212,20.2,2023-08
WTG-001-20230804,WTG-001,2023-08-04,879.75,0.714,72.0,0.432,20.6,2023-08
WTG-001-20230805,WTG-001,2023-08-05,1371.93,0.7143,45.3,0.162,21.6,2023-08
WTG-001-20230806,WTG-001,2023-08-06,1055.29,0.7711,57.4,0.499,22.4,2023-08
WTG-001-20230807,WTG-001,2023-08-07,980.88,0.73,34.3,1.777,19.1,2023-08
WTG-001-20230808,WTG-001,2023-08-08,1111.86,0.6976,34.8,1.023,20.7,2023-08
WTG-001-20230809,WTG-001,2023-08-09,866.95,0.6514,43.5,1.744,19.5,2023-08
WTG-001-20230810,WTG-001,2023-08-10,1059.87,0.7259,66.4,0.07,23.8,2023-08
WTG-001-20230811,WTG-001,2023-08-11,898.34,0.6725,51.2,0.205,23.0,2023-08
WTG-001-20230812,WTG-001,2023-08-12,995.26,0.7114,57.0,0.613,19.0,2023-08
WTG-001-20230813,WTG-001,2023-08-13,1397.97,0.7455,68.3,0.44,23.2,2023-08
WTG-001-20230814,WTG-001,2023-08-14,976.43,0.7572,36.2,0.029,21.2,2023-08
WTG-001-20230815,WTG-001,2023-08-15,1041.91,0.7171,50.4,0.021,18.9,2023-08
WTG-001-20230816,WTG-001,2023-08-16,1361.83,0.6906,20.3,1.516,21.8,2023-08
WTG-001-20230817,WTG-001,2023-08-17,1142.69,0.7182,60.0,0.075,18.2,2023-08
WTG-001-20230818,WTG-001,2023-08-18,1332.33,0.7554,32.1,0.56,23.8,2023-08
WTG-001-20230819,WTG-001,2023-08-19,1386.37,0.7318,30.6,0.59,23.0,2023-08
WTG-001-20230820,WTG-001,2023-08-20,1230.76,0.7047,49.8,0.481,23.2,2023-08
WTG-001-20230821,WTG-001,2023-08-21,1246.19,0.7115,60.6,0.121,22.0,2023-08
WTG-001-20230822,WTG-001,2023-08-22,1252.39,0.7277,26.4,0.536,24.0,2023-08
WTG-001-20230823,WTG-001,2023-08-23,1251.21,0.7566,64.3,1.054,20.4,2023-08
WTG-001-20230824,WTG-001,2023-08-24,1248.12,0.7198,68.5,0.718,22.8,2023-08
WTG-001-20230825,WTG-001,2023-08-25,1254.34,0.7669,20.3,0.196,20.2,2023-08
WTG-001-20230826,WTG-001,2023-08-26,1266.83,0.7213,43.3,0.298,19.4,2023-08
WTG-001-20230827,WTG-001,2023-08-27,1163.24,0.6913,60.1,0.483,20.8,2023-08
WTG-001-20230828,WTG-001,2023-08-28,1348.06,0.713,51.1,0.326,18.2,2023-08
WTG-001-20230829,WTG-001,2023-08-29,1160.48,0.6973,52.0,0.468,22.6,2023-08
WTG-001-20230830,WTG-001,2023-08-30,1219.27,0.6871,77.3,0.009,19.2,2023-08
WTG-001-20230831,WTG-001,2023-08-31,906.93,0.7266,76.1,0.217,18.6,2023-08
WTG-001-20230901,WTG-001,2023-09-01,1049.9,0.747,37.1,0.184,22.8,2023-09
WTG-001-20230902,WTG-001,2023-09-02,1203.9,0.6791,36.4,0.267,18.7,2023-09
WTG-001-20230903,WTG-001,2023-09-03,1307.78,0.7495,30.9,0.372,22.3,2023-09
WTG-001-20230904,WTG-001,2023-09-04,1465.16,0.7436,49.0,0.82,21.3,2023-09
WTG-001-20230905,WTG-001,2023-09-05,1214.89,0.7119,77.1,0.46,22.9,2023-09
WTG-001-20230906,WTG-001,2023-09-06,1237.49,0.7328,44.7,0.916,23.4,2023-09
WTG-001-20230907,WTG-001,2023-09-07,1048.54,0.7546,66.8,0.161,22.9,2023-09
WTG-001-20230908,WTG-001,2023-09-08,1356.72,0.7985,47.1,0.442,19.0,2023-09
WTG-001-20230909,WTG-001,2023-09-09,1361.77,0.7204,33.0,0.05,18.1,2023-09
WTG-001-20230910,WTG-001,2023-09-10,1085.43,0.7834,43.5,0.451,21.0,2023-09
WTG-001-20230911,WTG-001,2023-09-11,1043.09,0.7968,61.7,0.259,20.6,2023-09
WTG-001-20230912,WTG-001,2023-09-12,1014.55,0.7788,26.2,0.644,21.5,2023-09
WTG-001-20230913,WTG-001,2023-09-13,990.73,0.7841,25.1,1.123,19.2,2023-09
WTG-001-20230914,WTG-001,2023-09-14,903.29,0.7194,51.1,0.035,22.8,2023-09
WTG-001-20230915,WTG-001,2023-09-15,1195.7,0.7327,72.8,0.526,21.2,2023-09
WTG-001-20230916,WTG-001,2023-09-16,1437.36,0.7204,59.7,0.408,22.4,2023-09
WTG-001-20230917,WTG-001,2023-09-17,898.79,0.7201,53.7,1.581,19.1,2023-09
WTG-001-20230918,WTG-001,2023-09-18,931.19,0.729,47.0,0.706,20.1,2023-09
WTG-001-20230919,WTG-001,2023-09-19,1430.95,0.7792,75.6,0.134,20.4,2023-09
WTG-001-20230920,WTG-001,2023-09-20,1235.52,0.7642,57.4,0.047,22.5,2023-09
WTG-001-20230921,WTG-001,2023-09-21,1464.64,0.7871,66.9,0.617,18.2,2023-09
WTG-001-20230922,WTG-001,2023-09-22,931.32,0.7333,76.2,0.403,19.8,2023-09
WTG-001-20230923,WTG-001,2023-09-23,1153.38,0.7404,56.0,0.363,23.5,2023-09
WTG-001-20230924,WTG-001,2023-09-24,1061.17,0.7764,75.8,0.062,22.9,2023-09
WTG-001-20230925,WTG-001,2023-09-25,1465.91,0.7706,72.1,0.82,22.7,2023-09
WTG-001-20230926,WTG-001,2023-09-26,1013.74,0.7572,61.7,0.212,23.9,2023-09
WTG-001-20230927,WTG-001,2023-09-27,1425.31,0.7671,28.0,0.99,23.5,2023-09
WTG-001-20230928,WTG-001,2023-09-28,1138.88,0.85,50.2,0.254,18.9,2023-09
WTG-001-20230929,WTG-001,2023-09-29,964.61,0.7689,21.5,0.073,23.8,2023-09
WTG-001-20230930,WTG-001,2023-09-30,1152.32,0.795,50.4,0.289,18.6,2023-09
WTG-001-20231001,WTG-001,2023-10-01,1075.31,0.7833,57.2,0.525,18.9,2023-10
WTG-001-20231002,WTG-001,2023-10-02,950.75,0.7629,61.7,2.058,19.4,2023-10
WTG-001-20231003,WTG-001,2023-10-03,1016.43,0.7836,38.2,0.053,22.2,2023-10
WTG-001-20231004,WTG-001,2023-10-04,1458.55,0.7879,56.9,0.183,21.7,2023-10
WTG-001-20231005,WTG-001,2023-10-05,1182.67,0.7675,27.8,1.088,20.7,2023-10
WTG-001-20231006,WTG-001,2023-10-06,1445.23,0.7762,64.0,0.733,18.1,2023-10
